timestamp,food_name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
2023-08-03 00:20:33.226633+02:00,pesto,150.72,30.0,14.73,2.73,3.33,147.0,86.4,6.9,2.25,0.33,0.24
2023-08-03 00:20:46.735861+02:00,noodles,242.7,150.0,1.35,0.3,8.7,0.0,85.5,0.0,46.8,2.7,0.9
